Angle difference to Center;Angle difference to target;Center safety zone in degrees;Center visual changed from;Center visual changed to;Current round;Current Target Index X;Current Target Index Y;Email;Event;Eye gaze confidence treshhold;Framecount;Gaze Direction local X;Gaze Direction local Y;Gaze Direction local Z;Gaze Direction world X;Gaze Direction world Y;Gaze Direction world Z;Head Position World X;Head Position World Y;Head Position World Z;Head Rotation Euler World X;Head Rotation Euler World Y;Head Rotation Euler World Z;Number of rounds left;ParticipantID;Pupil time;Scenario;SessionID;Target Position World space X;Target Position World space Y;Target Position World space Z;Target Rotation World space X;Target Rotation World space Y;Target Rotation World space Z;Target safety zone in degrees;Target shape actual;Target shape recognized by user;Target size;Target visual changed from;Target visual changed to;TestID;Time since last event;Timestamp;Unity to pupil time offset;Wall angle from left to right X;Wall angle from left to right Y;Wall angle spread per target;Wall center Index X;Wall center Index Y;Wall center world space position X;Wall center world space position Y;Wall center world space position Z;Wall target count X;Wall target count Y
2.831237;28.74355;8.0000;NULL;NULL;19;10;1;NULL;TargetSpawned;NULL;64979;0.0060;-0.0223;0.9997;0.0051;0.0295;0.9996;0.0262;1.9076;-1.0421;357.0181;0.0094;357.4231;NULL;NULL;2803.34789151102;NULL;NULL;1.4672;2.4737;1.6833;12.0000;210.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;1994;05/17/2022 09:21:58;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;2.94962;8.0000;NULL;NULL;19;10;1;NULL;TargetLookedAt;NULL;65029;0.4330;0.1126;0.8943;0.4390;0.1373;0.8879;0.0267;1.9073;-1.0416;357.1100;0.0810;357.3308;NULL;NULL;2803.90648526102;NULL;NULL;1.4672;2.4737;1.6833;12.0000;210.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;558;05/17/2022 09:21:59;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;19;NULL;NULL;NULL;ShapeAnswer;NULL;65170;0.0099;-0.0156;0.9998;0.0107;0.0415;0.9991;0.0258;1.9081;-1.0428;356.6959;0.0977;357.4195;NULL;NULL;2805.47868985087;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Circle;Circle;NULL;NULL;NULL;NULL;1572;05/17/2022 09:22:00;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3.597334;NULL;8.0000;Recenter;TargetFound;20;NULL;NULL;NULL;UserMustRecenter;NULL;65170;0.0099;-0.0156;0.9998;0.0107;0.0415;0.9991;0.0258;1.9081;-1.0428;356.6959;0.0977;357.4195;NULL;NULL;2805.48247403056;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:00;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
3.597334;NULL;8.0000;TargetFound;Recenter;20;NULL;NULL;NULL;UserRecentered;NULL;65170;0.0099;-0.0156;0.9998;0.0109;0.0416;0.9991;0.0258;1.9081;-1.0428;356.6959;0.0977;357.4195;NULL;NULL;2805.48955410868;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:00;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.589441;29.72283;8.0000;NULL;NULL;20;10;3;NULL;TargetSpawned;NULL;65346;0.0010;-0.0271;0.9996;-0.0020;0.0267;0.9996;0.0251;1.9077;-1.0418;356.9201;359.8955;357.4671;NULL;NULL;2807.49150723368;NULL;NULL;-1.4918;1.5364;1.7258;354.0000;150.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;2001;05/17/2022 09:22:02;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;8.411041;8.0000;NULL;NULL;20;10;3;NULL;TargetLookedAt;NULL;65397;-0.3392;-0.2326;0.9115;-0.3516;-0.1741;0.9198;0.0247;1.9071;-1.0411;357.2694;359.8362;357.5321;NULL;NULL;2808.07012051493;NULL;NULL;-1.4918;1.5364;1.7258;354.0000;150.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;578;05/17/2022 09:22:03;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;20;NULL;NULL;NULL;ShapeAnswer;NULL;65532;0.0070;-0.0620;0.9981;0.0010;-0.0077;1.0000;0.0248;1.9078;-1.0424;356.8381;359.8368;357.5350;NULL;NULL;2809.57762783915;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Triangle;Triangle;NULL;NULL;NULL;NULL;1507;05/17/2022 09:22:04;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0.8259051;NULL;8.0000;Recenter;TargetFound;21;NULL;NULL;NULL;UserMustRecenter;NULL;65532;0.0070;-0.0620;0.9981;0.0010;-0.0077;1.0000;0.0248;1.9078;-1.0424;356.8381;359.8368;357.5350;NULL;NULL;2809.58141201884;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:04;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
0.6960504;NULL;8.0000;TargetFound;Recenter;21;NULL;NULL;NULL;UserRecentered;NULL;65532;0.0051;-0.0634;0.9980;-0.0005;-0.0084;1.0000;0.0248;1.9078;-1.0424;356.8381;359.8368;357.5350;NULL;NULL;2809.58855313212;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:04;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1.883671;16.94925;8.0000;NULL;NULL;21;6;0;NULL;TargetSpawned;NULL;65704;0.0269;-0.0568;0.9980;0.0238;-0.0091;0.9997;0.0251;1.9070;-1.0412;357.1993;359.9698;357.3970;NULL;NULL;2811.59197110087;NULL;NULL;0.2982;2.7771;1.9795;18.0000;186.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;2003;05/17/2022 09:22:06;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;8.878188;8.0000;NULL;NULL;21;6;0;NULL;TargetLookedAt;NULL;65738;0.2270;0.2010;0.9529;0.2349;0.2332;0.9436;0.0247;1.9065;-1.0406;357.4359;359.9554;357.4751;NULL;NULL;2811.97899502665;NULL;NULL;0.2982;2.7771;1.9795;18.0000;186.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;387;05/17/2022 09:22:07;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;21;NULL;NULL;NULL;ShapeAnswer;NULL;65868;0.0381;-0.0284;0.9989;0.0302;0.0147;0.9994;0.0221;1.9064;-1.0409;357.4513;359.6052;357.7886;NULL;NULL;2813.41972988993;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Square;Square;NULL;NULL;NULL;NULL;1440;05/17/2022 09:22:08;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.81675;NULL;8.0000;Recenter;TargetFound;22;NULL;NULL;NULL;UserMustRecenter;NULL;65868;0.0381;-0.0284;0.9989;0.0302;0.0147;0.9994;0.0221;1.9064;-1.0409;357.4513;359.6052;357.7886;NULL;NULL;2813.42351406962;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:08;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
2.648485;NULL;8.0000;TargetFound;Recenter;22;NULL;NULL;NULL;UserRecentered;NULL;65868;0.0327;-0.0272;0.9991;0.0247;0.0160;0.9996;0.0221;1.9064;-1.0409;357.4513;359.6052;357.7886;NULL;NULL;2813.43053311259;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:08;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.050137;30.27001;8.0000;NULL;NULL;22;0;3;NULL;TargetSpawned;NULL;66043;0.0349;-0.0502;0.9981;0.0268;-0.0079;0.9996;0.0241;1.9064;-1.0403;357.4867;359.6607;357.5468;NULL;NULL;2815.42491787821;NULL;NULL;-1.5000;1.8500;1.7401;0.0000;150.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;1994;05/17/2022 09:22:10;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;7.36663;8.0000;NULL;NULL;22;0;3;NULL;TargetLookedAt;NULL;66092;-0.3733;-0.1431;0.9166;-0.3832;-0.0894;0.9193;0.0245;1.9060;-1.0393;357.6916;359.7581;357.4691;NULL;NULL;2815.96935147196;NULL;NULL;-1.5000;1.8500;1.7401;0.0000;150.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;544;05/17/2022 09:22:11;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;22;NULL;NULL;NULL;ShapeAnswer;NULL;66226;-0.0076;-0.0334;0.9994;-0.0154;0.0100;0.9998;0.0223;1.9063;-1.0400;357.5460;359.6274;357.8218;NULL;NULL;2817.46300381571;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Triangle;Triangle;NULL;NULL;NULL;NULL;1493;05/17/2022 09:22:12;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1.642348;NULL;8.0000;Recenter;TargetFound;23;NULL;NULL;NULL;UserMustRecenter;NULL;66226;-0.0076;-0.0334;0.9994;-0.0154;0.0100;0.9998;0.0223;1.9063;-1.0400;357.5460;359.6274;357.8218;NULL;NULL;2817.46684903056;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:12;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
1.642348;NULL;8.0000;TargetFound;Recenter;23;NULL;NULL;NULL;UserRecentered;NULL;66226;-0.0076;-0.0334;0.9994;-0.0153;0.0097;0.9998;0.0223;1.9063;-1.0400;357.5460;359.6274;357.8218;NULL;NULL;2817.47386807352;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:12;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1.659418;31.68305;8.0000;NULL;NULL;23;9;6;NULL;TargetSpawned;NULL;66406;0.0277;-0.0465;0.9985;0.0200;-0.0075;0.9998;0.0228;1.9060;-1.0395;357.7004;359.6681;357.6447;NULL;NULL;2819.48448819071;NULL;NULL;1.4266;0.9229;1.6129;342.0000;210.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;2010;05/17/2022 09:22:14;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;4.69273;8.0000;NULL;NULL;23;9;6;NULL;TargetLookedAt;NULL;66453;0.4447;-0.2557;0.8584;0.4300;-0.2371;0.8711;0.0234;1.9064;-1.0397;357.5128;359.7823;357.5362;NULL;NULL;2820.00133389384;NULL;NULL;1.4266;0.9229;1.6129;342.0000;210.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;516;05/17/2022 09:22:15;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;23;NULL;NULL;NULL;ShapeAnswer;NULL;66580;0.0149;-0.0256;0.9996;0.0085;0.0211;0.9997;0.0239;1.9067;-1.0409;357.2960;359.6773;357.4939;NULL;NULL;2821.49516934306;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Circle;Circle;NULL;NULL;NULL;NULL;1493;05/17/2022 09:22:16;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.399228;NULL;8.0000;Recenter;TargetFound;24;NULL;NULL;NULL;UserMustRecenter;NULL;66580;0.0149;-0.0256;0.9996;0.0085;0.0211;0.9997;0.0239;1.9067;-1.0409;357.2960;359.6773;357.4939;NULL;NULL;2821.49889248759;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:16;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
2.253422;NULL;8.0000;TargetFound;Recenter;24;NULL;NULL;NULL;UserRecentered;NULL;66580;0.0158;-0.0286;0.9995;0.0089;0.0179;0.9998;0.0239;1.9067;-1.0409;357.2960;359.6773;357.4939;NULL;NULL;2821.50609463602;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:16;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4.956222;29.07939;8.0000;NULL;NULL;24;10;2;NULL;TargetSpawned;NULL;66759;-0.0203;0.0163;0.9997;-0.0214;0.0675;0.9975;0.0250;1.9069;-1.0420;357.1262;359.8850;356.8894;NULL;NULL;2823.50829190165;NULL;NULL;1.4918;2.1636;1.7258;6.0000;210.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;2002;05/17/2022 09:22:18;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;0.5101407;8.0000;NULL;NULL;24;10;2;NULL;TargetLookedAt;NULL;66807;0.4572;0.0695;0.8866;0.4590;0.0844;0.8844;0.0260;1.9065;-1.0400;357.5774;359.9327;357.1800;NULL;NULL;2824.04424160868;NULL;NULL;1.4918;2.1636;1.7258;6.0000;210.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;535;05/17/2022 09:22:19;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;24;NULL;NULL;NULL;ShapeAnswer;NULL;67182;0.0620;-0.0353;0.9975;0.0396;-0.0022;0.9992;0.0274;1.9055;-1.0336;357.9200;358.8312;356.9503;NULL;NULL;2828.27501553446;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Triangle;Unknown;NULL;NULL;NULL;NULL;4230;05/17/2022 09:22:23;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.898675;NULL;8.0000;Recenter;TargetFound;25;NULL;NULL;NULL;UserMustRecenter;NULL;67182;0.0620;-0.0353;0.9975;0.0396;-0.0022;0.9992;0.0274;1.9055;-1.0336;357.9200;358.8312;356.9503;NULL;NULL;2828.27867764384;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:23;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
2.958036;NULL;8.0000;TargetFound;Recenter;25;NULL;NULL;NULL;UserRecentered;NULL;67182;0.0639;-0.0376;0.9973;0.0414;-0.0047;0.9991;0.0274;1.9055;-1.0336;357.9200;358.8312;356.9503;NULL;NULL;2828.28600186259;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:23;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3.80313;17.58142;8.0000;NULL;NULL;25;7;0;NULL;TargetSpawned;NULL;67361;0.0667;-0.0158;0.9976;0.0544;0.0049;0.9985;0.0261;1.9039;-1.0321;358.6202;359.3448;357.0881;NULL;NULL;2830.28081387431;NULL;NULL;0.5932;2.7771;1.9328;18.0000;192.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;1994;05/17/2022 09:22:25;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;9.833054;8.0000;NULL;NULL;25;7;0;NULL;TargetLookedAt;NULL;67405;0.1270;0.1031;0.9865;0.1216;0.1221;0.9850;0.0266;1.9040;-1.0333;358.5080;359.3851;357.0477;NULL;NULL;2830.82414883524;NULL;NULL;0.5932;2.7771;1.9328;18.0000;192.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;543;05/17/2022 09:22:25;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;25;NULL;NULL;NULL;ShapeAnswer;NULL;67563;0.0419;-0.0144;0.9990;0.0265;0.0144;0.9995;0.0276;1.9045;-1.0355;358.2169;359.1578;356.7474;NULL;NULL;2832.59728115946;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Square;Square;NULL;NULL;NULL;NULL;1773;05/17/2022 09:22:27;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.696677;NULL;8.0000;Recenter;TargetFound;26;NULL;NULL;NULL;UserMustRecenter;NULL;67563;0.0419;-0.0144;0.9990;0.0265;0.0144;0.9995;0.0276;1.9045;-1.0355;358.2169;359.1578;356.7474;NULL;NULL;2832.60100430399;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:27;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
2.906229;NULL;8.0000;TargetFound;Recenter;26;NULL;NULL;NULL;UserRecentered;NULL;67563;0.0485;-0.0163;0.9987;0.0328;0.0120;0.9994;0.0276;1.9045;-1.0355;358.2169;359.1578;356.7474;NULL;NULL;2832.60826748759;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:27;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5.795894;28.71528;8.0000;NULL;NULL;26;1;6;NULL;TargetSpawned;NULL;67742;0.0963;-0.0206;0.9951;0.0888;0.0033;0.9960;0.0322;1.9042;-1.0342;358.2655;359.6586;356.2166;NULL;NULL;2834.61070889384;NULL;NULL;-0.8817;0.9229;1.8555;342.0000;162.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;2002;05/17/2022 09:22:29;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;8.523138;8.0000;NULL;NULL;26;1;6;NULL;TargetLookedAt;NULL;67779;-0.1119;-0.3463;0.9314;-0.1414;-0.3133;0.9391;0.0306;1.9040;-1.0336;358.4454;359.4916;356.4531;NULL;NULL;2835.02330655009;NULL;NULL;-0.8817;0.9229;1.8555;342.0000;162.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;412;05/17/2022 09:22:30;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;26;NULL;NULL;NULL;ShapeAnswer;NULL;67906;0.0636;-0.0968;0.9933;0.0507;-0.0646;0.9966;0.0286;1.9049;-1.0358;357.9494;359.5718;356.6738;NULL;NULL;2836.50713223368;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Circle;Circle;NULL;NULL;NULL;NULL;1483;05/17/2022 09:22:31;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4.362556;NULL;8.0000;Recenter;TargetFound;27;NULL;NULL;NULL;UserMustRecenter;NULL;67906;0.0636;-0.0968;0.9933;0.0507;-0.0646;0.9966;0.0286;1.9049;-1.0358;357.9494;359.5718;356.6738;NULL;NULL;2836.51085537821;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:31;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
0.7950006;NULL;8.0000;TargetFound;Recenter;27;NULL;NULL;NULL;UserRecentered;NULL;67906;0.0154;-0.0535;0.9984;0.0048;-0.0186;0.9998;0.0286;1.9049;-1.0358;357.9494;359.5718;356.6738;NULL;NULL;2836.51799649149;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:31;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3.306123;25.09193;8.0000;NULL;NULL;27;9;0;NULL;TargetSpawned;NULL;68085;0.0542;-0.0278;0.9981;0.0455;0.0018;0.9990;0.0285;1.9045;-1.0350;358.1204;359.5993;356.6349;NULL;NULL;2838.5195223704;NULL;NULL;1.1605;2.7771;1.7485;18.0000;204.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;2001;05/17/2022 09:22:33;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;4.715966;8.0000;NULL;NULL;27;9;0;NULL;TargetLookedAt;NULL;68124;0.3510;0.1910;0.9167;0.3547;0.2004;0.9132;0.0284;1.9045;-1.0350;358.1021;359.5726;356.6453;NULL;NULL;2838.95494717509;NULL;NULL;1.1605;2.7771;1.7485;18.0000;204.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;435;05/17/2022 09:22:34;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;27;NULL;NULL;NULL;ShapeAnswer;NULL;68255;0.0231;-0.0177;0.9996;0.0112;0.0153;0.9998;0.0266;1.9048;-1.0353;358.0297;359.3875;356.8935;NULL;NULL;2840.41618985087;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Triangle;Triangle;NULL;NULL;NULL;NULL;1461;05/17/2022 09:22:35;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2.190531;NULL;8.0000;Recenter;TargetFound;28;NULL;NULL;NULL;UserMustRecenter;NULL;68255;0.0231;-0.0177;0.9996;0.0112;0.0153;0.9998;0.0266;1.9048;-1.0353;358.0297;359.3875;356.8935;NULL;NULL;2840.4199129954;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:22:35;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
2.190531;NULL;8.0000;TargetFound;Recenter;28;NULL;NULL;NULL;UserRecentered;NULL;68255;0.0231;-0.0177;0.9996;0.0115;0.0154;0.9998;0.0266;1.9048;-1.0353;358.0297;359.3875;356.8935;NULL;NULL;2840.42711514384;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7;05/17/2022 09:22:35;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3.101541;16.85974;8.0000;NULL;NULL;28;5;0;NULL;TargetSpawned;NULL;68570;0.0562;-0.0368;0.9977;0.0453;-0.0089;0.9989;0.0261;1.9042;-1.0338;358.2325;359.4880;357.0272;NULL;NULL;2844.00353115946;NULL;NULL;0.0000;2.7771;1.9952;18.0000;180.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3576;05/17/2022 09:22:39;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;5.473248;8.0000;NULL;NULL;28;5;0;NULL;TargetLookedAt;NULL;68613;0.0133;0.1601;0.9870;0.0127;0.1864;0.9824;0.0262;1.9038;-1.0334;358.4136;359.4786;357.0338;NULL;NULL;2844.48399990946;NULL;NULL;0.0000;2.7771;1.9952;18.0000;180.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;480;05/17/2022 09:22:39;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;28;NULL;NULL;NULL;ShapeAnswer;NULL;68736;0.0160;-0.0038;0.9999;0.0026;0.0263;0.9997;0.0245;1.9042;-1.0350;358.2337;359.2597;357.2230;NULL;NULL;2845.87493008524;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Triangle;Triangle;NULL;NULL;NULL;NULL;1390;05/17/2022 09:22:41;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;8.0000;NULL;NULL;29;NULL;NULL;NULL;TestFinished;0.6500;68736;0.0160;-0.0038;0.9999;0.0026;0.0263;0.9997;0.0245;1.9042;-1.0350;358.2337;359.2597;357.2230;0;1;2845.87975186259;EyeGaze;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;0.1000;NULL;NULL;1;4;05/17/2022 09:22:41;2050.26878994852;60.0000;36.0000;6.0000;5;3;0.3136;1.8500;2.1256;7;11
NULL;NULL;8.0000;NULL;NULL;29;NULL;NULL;NULL;TestCancelled;0.6500;68736;0.0483;-0.0297;0.9984;0.0339;-0.0012;0.9994;0.0000;1.8800;-0.9250;0.0000;0.0000;0.0000;0;1;2845.91496914774;EyeGaze;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;0.1000;NULL;NULL;1;35;05/17/2022 09:22:41;2050.26878994852;60.0000;36.0000;6.0000;5;3;0.3136;1.8500;2.1256;7;11
